co_per_rol,P_0,r_f,d,s,T,phi,n_s,n_o,K,wealth,rescale_factor
79,100.0,0.0197,0.0040000002,0.41687366,3.3931058151688784,0.02557778,0.084959999,0.00334952431,109.75936456991872,0.081351146,180.8833
111,100.0,0.0197,0.0071999999,0.49831051,3.13989930795584,0.011608231,0.00082999998,0.0035144298900000003,73.57883870364412,0.036413588,643.23688
836,100.0,0.0197,0.0136,0.55885351,2.3317273390537103,0.064815387,0.0012300001,0.002825841984,66.9760921658029,0.073071547,250.9585
885,100.0,0.0197,0.0052,0.37462652,2.763262118331523,0.023048831,0.062859997,0.00476921504,88.49431105711244,0.038777094,302.9527
1017,100.0,0.0197,0.017999999,0.2683225,3.033512638708362,0.09436442,0.0029899999,0.00266871223,70.06467145472081,0.077694446,98.632294
1316,100.0,0.0197,0.0043000001,0.25658616,3.6436285099185914,0.046034899,0.00202,0.00236041627,80.12152051815431,0.062949575,143.6062
1329,100.0,0.0197,0.037999999,0.44012299,2.8391901519828298,0.05737723,0.090970002,0.006733857822,30.47944045787071,0.13679455,138.47624
1455,100.0,0.0197,0.0099999998,0.3739737,2.4211742313894655,0.041034535,0.027349999,0.009314044149999999,73.1972676110717,0.060685478,151.81859
1623,100.0,0.0197,0.017000001,0.3017205,4.042249179546824,0.017371545,0.00030000001,0.0028177507800000003,41.910942139369226,0.033370052,444.76593
1689,100.0,0.0197,0.022,0.25305477,5.0,0.033461053,0.00145,0.0,100.0,0.060050402,174.647
1711,100.0,0.0197,0.0115,0.66640228,3.7963597214764078,0.01303573,0.0012300001,0.00393054525,118.17080612157434,0.028721347,308.38004
1725,100.0,0.0197,0.013,0.41352275,2.365625373579553,0.047446631,0.01307,0.00243542445,72.30764534418643,0.08155223,159.77214
2414,100.0,0.0197,0.0046000001,0.53258914,2.5180334694776003,0.1205577,0.06064,0.013389625110000001,51.044505841486604,0.19900136,24.024744
2472,100.0,0.0197,0.0024000001,0.31394246,4.0557760855003275,0.0016961491,0.24409001,0.00665357461,59.01684640738035,0.017358251,1599.2456
2542,100.0,0.0197,0.0012000001,0.34012711,1.4975177719960435,0.0051243179,0.00055,0.0010528404299999998,135.62007673756972,0.010301012,846.82507
2653,100.0,0.0197,0.0123,0.6525082,2.873816474764348,0.037577465,0.0091000004,0.00663373751,79.82031181353894,0.052507404,249.0834
2666,100.0,0.0197,0.0024000001,0.41077399,2.0596506755722124,0.035827644,0.0096100001,0.00461980221,47.76161242445911,0.081391916,91.289085
2669,100.0,0.0197,0.0093999999,0.32269752,1.8706654271227665,0.046923663,0.0011699999,0.00348386981,107.46762661557472,0.17408955,117.90639
2691,100.0,0.0197,0.0060000001,0.37314847,3.3138286583781875,0.023729436,0.00107,0.00042387883000000003,98.38312454821404,0.046620212,307.15793
2865,100.0,0.0197,0.028999999,0.24880749,2.9112328700000165,0.014610215,0.0011699999,0.00032037726,117.33128834355851,0.03564455,244.21208
3190,100.0,0.0197,0.0,0.27448061,5.5067038656498,0.018759394,0.0038300001,0.00518477989,129.514662633493,0.065757677,101.19363
3419,100.0,0.0197,0.011,0.35039708,3.058296928591605,0.075816296,0.00734,0.009156936530000001,85.23645706338102,0.14962177,38.456417
3504,100.0,0.0197,0.0,0.47604978,3.9886441395398133,0.073986232,0.00501,0.01213705536,68.27901873070249,0.21976069,19.266626
3565,100.0,0.0197,0.0,0.70712733,3.2203961185402465,0.47063839,0.00039,0.013967308400000001,88.86911576775738,0.86477309,5.8880873
3698,100.0,0.0197,0.0066249999,0.35836193,3.3541037720422477,0.081029259,0.12144,0.0029922202100000003,73.8950802721062,0.30300248,35.660477
3736,100.0,0.0197,0.0012000001,0.34367633,4.54357195033681,0.026092717,0.00156,0.0024014345600000004,68.88658284835061,0.031598981,275.96915
3897,100.0,0.0197,0.0115,0.30235437,2.560127721407822,0.097977616,0.0028299999,0.00829255224,105.95805156680451,0.26877043,29.9503
4008,100.0,0.0197,0.0046999999,0.34587443,4.5486422113947835,0.10069,0.00136,0.0159153957,195.3230772107734,0.29595342,22.484278
4379,100.0,0.0197,0.0112,0.42126533,3.990661379186285,0.036728777,0.00208,0.00423391237,54.96452026650446,0.088277295,83.353905
4441,100.0,0.0197,0.00079999998,0.50164789,5.0,0.0192584,0.0053099999,0.0,100.0,0.055541851,131.6898
4834,100.0,0.0197,0.028000001,0.16810645,5.0,0.022608973,0.00135,0.0,100.0,0.028644044,330.36279
4889,100.0,0.0197,0.014525,0.40515003,6.024457504998857,0.012067613,0.00133,0.00264554611,91.92135311368033,0.043405883,137.09256
4929,100.0,0.0197,0.0055499999,0.29621789,10.648330036138791,0.10082183,0.0051799999,0.012520868219999998,376.0449653709551,0.18656024,43.343639
5623,100.0,0.0197,0.003,0.48105186,4.062581738259621,0.3677673,0.028929999,0.00764134021,80.77612090103698,0.93594116,7.9628177
5797,100.0,0.0197,0.0060000001,0.29756099,3.949190289076952,0.22333089,0.01041,0.0160712843,84.41957413535094,0.60697305,13.230324
5861,100.0,0.0197,0.018300001,0.34618774,3.6213748420172003,0.083255321,0.0095600002,0.00588277512,95.33216995908458,0.13594154,33.355968
5937,100.0,0.0197,0.0012000001,0.53130931,4.215834814520283,0.38319644,0.048269998,0.013830430979999999,99.49315354472068,0.87219048,2.0814886
5997,100.0,0.0197,0.0132,0.30073285,2.0322888285307834,0.073819973,0.0040699998,0.001372649594,80.35303591936828,0.17014918,43.360664
6203,100.0,0.0197,0.0,0.36876798,3.223094081041058,0.096065037,0.0075300001,0.0006664281399999999,58.469211652980256,0.26854074,34.598988
6245,100.0,0.0197,0.0099999998,0.4703975,3.2013167409756402,0.3806982,0.0025299999,0.0247945336,167.63766906301092,0.53173757,17.887417
6458,100.0,0.0197,0.0063,0.22898047,3.314938465460591,0.071182385,0.0055800001,0.00275851978,81.71339846929385,0.10027085,35.573002
6517,100.0,0.0197,0.0062000002,0.7699852,6.864251245009064,0.20600139,0.00183,0.0063280264200000005,111.5733037491671,0.30595982,22.618212
6542,100.0,0.0197,0.0085500004,0.33514753,3.46149767150937,0.040844627,0.0079699997,0.008882001521,57.14347146453476,0.11225789,43.827675
6864,100.0,0.0197,0.0070500001,0.42434135,3.480736281037606,0.11048356,0.0124,0.0018291464699999999,60.854888223805176,0.24591872,36.364632
6973,100.0,0.0197,0.00039999999,0.7530117,1.6167123699999342,0.046728767,0.0074399998,0.00041802615,220.98130841121812,0.080984451,39.418587
7104,100.0,0.0197,0.0016,0.45854837,2.1083741979640394,0.21961203,0.030540001,0.011097661200000001,189.57760683805634,0.37926963,6.4085517
7184,100.0,0.0197,0.0046999999,0.28760609,3.2126186311838265,0.19997494,0.19029,0.005323962999999999,52.718184290939526,0.45887193,10.768294
7196,100.0,0.0197,0.0,0.50651181,4.272312202944108,0.023083119,0.083339997,0.012988628620000001,17.83730539335042,0.046930213,133.38617
