,co_per_rol,P_0,r_f,d,sigma,T,phi,n_s,n_o,K,wealth,rescale_factor,phi_opt,n_s_opt,n_o_opt,E_U,E_UPPS,E_cost_0,E_U_opt,E_UPPS_opt,E_cost_0_opt,distance,savings
0,79.0,100.0,0.0197,0.0040000002,0.41687366,3.3931058151688784,0.02557778,0.08495999900000001,0.0033495243100000005,109.75936456991873,0.081351146,180.8833,0.023901648624709376,0.08523257647547478,2.395255659740458e-11,-0.3101684271980469,0.002731424432031996,1558.4531721994254,-0.31016842734599287,0.0027314244329350464,1546.0383792391758,3.120993146968143e-05,0.007966099451502114
1,111.0,100.0,0.0197,0.0071999999,0.49831051,3.1398993079558397,0.011608231,0.0008299999799999999,0.0035144298900000003,73.57883870364412,0.036413588,643.2368799999999,0.0017371969498595021,0.001545330654260195,6.014442540635706e-12,-8.13303689884387,0.03871576121503037,162.0655034152287,-8.133036961290896,0.03871576121686417,100.51879618065827,5.1671190909045815e-05,0.3797643911726319
2,836.0,100.0,0.0197,0.0136,0.55885351,2.3317273390537103,0.064815387,0.0012300001,0.002825841984,66.9760921658029,0.073071547,250.9585,0.04546173546297989,0.002316661297798504,2.0621616640406204e-14,-3.59364280634112,0.014129490580463085,79.66687315573743,-3.5936428063336985,0.014129490580488329,69.54759336978023,4.9462823472543384e-05,0.1270199191347129
3,885.0,100.0,0.0197,0.0052,0.37462652,2.763262118331523,0.023048831000000002,0.062859997,0.004769215039999999,88.49431105711244,0.038777094,302.9527,0.015424456850371377,0.06356109543145583,5.0049695529073544e-11,-0.3102276686697315,0.0029501190675020467,1955.2736963376205,-0.3102276793900043,0.0029501191486720015,1930.2734289015893,5.586964971625207e-05,0.01278607055516499
4,1017.0,100.0,0.0197,0.017999999,0.26832249999999996,3.033512638708362,0.09436442,0.0029899999,0.00266871223,70.06467145472081,0.077694446,98.63229399999999,0.0513102137040036,0.004246358624785057,0.0,-2.0368694110959993,0.01305241554615035,47.55697506289075,-2.0368694132503764,0.013052415545276815,46.94365331417969,4.811043575828621e-05,0.012896567704316401
5,1316.0,100.0,0.0197,0.0043000001000000005,0.25658616,3.643628509918592,0.046034899000000004,0.00202,0.00236041627,80.12152051815431,0.062949575,143.6062,0.014738348081369992,0.0029764007798947847,1.0734086208077206e-13,-3.0741819990025543,0.02019958137956035,46.20238404703493,-3.074182059126427,0.02019958123531856,44.85947873049691,3.4841077220205315e-05,0.029065714772876658
6,1329.0,100.0,0.0197,0.037999999,0.44012299,2.8391901519828298,0.05737723,0.090970002,0.006733857822,30.479440457870712,0.13679455,138.47624,0.04228728995342014,0.09324941424483256,0.0,-0.2552152091081768,0.002187761362165844,1325.4107655552104,-0.2552152091072047,0.0021877613621669578,1297.138611595226,0.00025478033181906834,0.021330861869181567
7,1455.0,100.0,0.0197,0.0099999998,0.3739737,2.421174231389465,0.041034535,0.027349999,0.00931404415,73.1972676110717,0.060685478,151.81859,0.00903461667947008,0.029442477625657593,1.004872448373307e-12,-0.5776655583547703,0.00523800369996224,472.4261602386256,-0.5776655583886252,0.00523800370029323,448.36316669435536,0.0001363329692176908,0.05093493030131073
8,1623.0,100.0,0.0197,0.017000001,0.3017205,4.042249179546824,0.017371545,0.00030000001,0.0028177507800000003,41.910942139369226,0.033370052000000004,444.76592999999997,-0.010573646783916672,0.001712439255877533,0.0,-7.284820521701982,0.05135012319770618,91.01235910447288,-7.284820477611145,0.051350124925417955,71.46066597554767,8.184648883366767e-05,0.21482459438812992
9,1689.0,100.0,0.0197,0.022000000000000002,0.25305477,5.0,0.033461053,0.00145,0.0,100.0,0.060050402,174.64700000000002,0.042393547384929356,0.0011927065864857707,0.000803422197255248,-4.288159054668112,0.0198467921668087,31.16768752329103,-4.288159251551658,0.019846791995492444,30.978370055482166,1.0311266374335384e-05,0.006074158298314178
10,1711.0,100.0,0.0197,0.0115,0.66640228,3.796359721476408,0.01303573,0.0012300001,0.0039305452500000004,118.17080612157434,0.028721347,308.38004,0.010942837094750545,0.0015296293393029727,6.940835150730529e-13,-10.049193194042449,0.03217323331363663,94.0152509481832,-10.049193194659248,0.032173233316497296,50.54526823413333,3.566102978701442e-05,0.46237160753853096
11,1725.0,100.0,0.0197,0.013000000000000001,0.41352275,2.365625373579553,0.047446630999999996,0.013069999999999998,0.00243542445,72.30764534418644,0.08155223,159.77213999999998,0.03657664435769536,0.013729973540041617,0.0,-1.095388046082234,0.008213441157616462,230.9749238000709,-1.0953880460712804,0.008213441157475057,225.2106542066305,3.695947778687155e-05,0.02495625714949864
12,2414.0,100.0,0.0197,0.0046000001,0.53258914,2.5180334694776003,0.1205577,0.06064,0.01338962511,51.044505841486604,0.19900136,24.024744000000002,0.09796486139409927,0.06388286101214896,1.6877203820442505e-12,-0.3764609921787819,0.002666565187510468,166.75192291491393,-0.37646099220052814,0.002666565187580099,155.83051889872496,0.00027421874920779716,0.06549492098967671
13,2472.0,100.0,0.0197,0.0024000001000000003,0.31394246,4.055776085500328,0.0016961491000000001,0.24409001,0.00665357461,59.01684640738035,0.017358251,1599.2456,-0.01018802596191774,0.24559570515654533,8.532483400868897e-11,-0.08447854646159297,0.00084291953832612,39556.97185160946,-0.08447854662080304,0.0008429195425758528,39260.49193600426,0.00011649922691688343,0.007495010404673822
14,2542.0,100.0,0.0197,0.0012000001,0.34012711,1.4975177719960435,0.0051243179,0.00055,0.0010528404299999998,135.62007673756972,0.010301012,846.8250699999999,0.0028282677888022047,0.0006055941631634322,0.0005262721738350304,-15.447306968342948,0.12060426400159095,57.28004900404961,-15.447307892306046,0.12060425843473488,56.86001964611186,4.08691567092002e-06,0.007332908495033797
15,2653.0,100.0,0.0197,0.0123,0.6525082,2.8738164747643484,0.037577465,0.0091000004,0.00663373751,79.82031181353894,0.052507404,249.0834,0.033590744520410575,0.009843991713383817,1.2970021343874071e-11,-2.6435326945481976,0.01308148574940241,314.4189438364432,-2.6435327095122414,0.013081485773114113,253.56438956109346,8.767990458230588e-05,0.19354608069355225
16,2666.0,100.0,0.0197,0.0024000001000000003,0.41077399,2.0596506755722124,0.035827644,0.0096100001,0.00461980221,47.761612424459116,0.081391916,91.289085,-2.5934399888015556e-05,0.011725635693611632,1.4238776265594691e-11,-1.2706747654702963,0.010180767409176738,114.3436758062719,-1.2706747664082183,0.01018076741625224,107.03988789562851,0.00010736663148470859,0.06387574878227574
17,2669.0,100.0,0.0197,0.0093999999,0.32269752,1.8706654271227665,0.046923663,0.0011699999,0.0034838698100000003,107.46762661557472,0.17408955,117.90638999999999,0.04851100060836349,0.0011371829967626956,0.003595618693622772,-2.5862437643297707,0.012632231586482068,25.525651198307017,-2.586243871677539,0.012632231603664302,25.52468388613643,1.2397673893858326e-06,3.789569022447283e-05
18,2691.0,100.0,0.0197,0.0060000001,0.37314847,3.3138286583781875,0.023729436,0.00107,0.00042387883,98.38312454821406,0.046620212,307.15792999999996,0.01988800507909911,0.001216485867460776,0.0,-6.02444751969864,0.026961990209328813,43.8413991525299,-6.024447518001835,0.026961990203178316,43.47408656427623,5.006454334539615e-06,0.008378213181010756
19,2865.0,100.0,0.0197,0.028999999,0.24880749,2.9112328700000165,0.014610215,0.0011699999,0.00032037726000000004,117.33128834355853,0.03564455,244.21208,0.02521039836344316,0.0009342995681857465,0.0015422737271946051,-6.27497612678217,0.038841553053310676,32.859627875545975,-6.274976341142502,0.038841551471260574,32.433785834066626,1.2487967232829465e-05,0.01295942982349648
20,3190.0,100.0,0.0197,0.0,0.27448061,5.506703865649801,0.018759394,0.0038300001,0.00518477989,129.514662633493,0.065757677,101.19363,0.0041513903722017785,0.0045241523243594785,0.0,-2.65704453831177,0.0176058009121506,51.10495136132062,-2.657045001580477,0.017605801155583033,46.201633898797475,4.169530217625916e-05,0.09594603520617528
